für,11387,PREPOSITION,TRANSCLUSION
einer,4778,NUMERAL,ARTICLE,PRONOUN,NOUN,SINGULAR;TRANSCLUSION
über,3821,PREPOSITION,ADJECTIVE,ADVERB,TRANSCLUSION
können,1903,VERB,NOUN,SINGULAR;TRANSCLUSION
ihre,1696,DETERMINER,PRONOUN,TRANSCLUSION
beim,1537,CONTRACTION,TRANSCLUSION
seit,1390,CONJUNCTION,PREPOSITION,
seiner,1371,PRONOUN,DETERMINER,TRANSCLUSION
diese,1434,PRONOUN,TRANSCLUSION
keine,1360,PRONOUN,TRANSCLUSION
eines,1354,NUMERAL,ARTICLE,PRONOUN,TRANSCLUSION
dieser,1189,PRONOUN,
viele,1151,ADJECTIVE,TRANSCLUSION
damit,1158,ADVERB,CONJUNCTION,TRANSCLUSION
diesem,1060,PRONOUN,TRANSCLUSION
sowie,995,CONJUNCTION,
sondern,957,CONJUNCTION,INTERJECTION,VERB,TRANSCLUSION
seinem,931,DETERMINER,TRANSCLUSION
ohne,909,CONJUNCTION,PREPOSITION,ADVERB,TRANSCLUSION
ihrer,919,PRONOUN,DETERMINER,TRANSCLUSION
müssen,954,VERB,TRANSCLUSION
allem,883,PRONOUN,
trump,896,PROPER NOUN,TRANSCLUSION
könnte,882,VERB,3PS;INFLECTED_FORM;SUBJ;TRANSCLUSION
seinen,843,DETERMINER,TRANSCLUSION
ihren,849,DETERMINER,PRONOUN,TRANSCLUSION
beiden,739,DETERMINER,PRONOUN,TRANSCLUSION
dazu,686,ADVERB,
dafür,686,ADVERB,
mich,682,PRONOUN,TRANSCLUSION
kein,663,PRONOUN,
ihrem,639,DETERMINER,PRONOUN,TRANSCLUSION
dieses,588,PRONOUN,TRANSCLUSION
davon,569,ADVERB,
würde,577,VERB,NOUN,3PS;INFLECTED_FORM;SINGULAR;SUBJ;TRANSCLUSION
zurück,561,ADVERB,INTERJECTION,NOUN,SINGULAR
große,550,ADJECTIVE,NOUN,SINGULAR;TRANSCLUSION
diesen,540,PRONOUN,TRANSCLUSION
wäre,527,VERB,3PS;INFLECTED_FORM;SUBJ;TRANSCLUSION
darauf,519,ADVERB,TRANSCLUSION
fünf,522,NUMERAL,NOUN,SINGULAR;TRANSCLUSION
großen,499,ADJECTIVE,NOUN,SINGULAR;TRANSCLUSION
später,473,ADJECTIVE,ADVERB,TRANSCLUSION
heißt,461,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;TRANSCLUSION
straße,459,NOUN,SINGULAR;TRANSCLUSION
würden,438,VERB,NOUN,INFLECTED_FORM;PLURAL;SUBJ;TRANSCLUSION
vielen,437,ADJECTIVE,TRANSCLUSION
lässt,431,VERB,3PS;INFLECTED_FORM;TRANSCLUSION
einige,432,PRONOUN,ADJECTIVE,VERB,3PS;FORM_OF;IMP;INFLECTED_FORM;SUBJ;TRANSCLUSION
zehn,428,NUMERAL,NOUN,SINGULAR;TRANSCLUSION
hätten,420,VERB,INFLECTED_FORM;SUBJ;TRANSCLUSION
denen,414,PRONOUN,ARTICLE,TRANSCLUSION
