term,term_frequency
auch_ADV,18249016
hatte_VERB,13766462
noch_ADV,12659295
werden_VERB,11883749
sind_VERB,10502456
wird_VERB,9834808
kann_VERB,7885590
haben_VERB,7535065
dann_ADV,7134042
wieder_ADV,6803589
sein_VERB,6118458
schon_ADV,6107629
immer_ADV,5889757
wurde_VERB,5444008
können_VERB,5372154
habe_VERB,5242707
hier_ADV,5181037
mehr_ADV,4993132
aber_ADV,4839708
waren_VERB,4788838
sagte_VERB,4454640
konnte_VERB,4351904
würde_VERB,4302671
sehr_ADV,4165419
doch_ADV,4080004
jetzt_ADV,3792400
selbst_ADV,3451919
ganz_ADV,3372042
wollte_VERB,3096200
hätte_VERB,2810864
einmal_ADV,2794084
also_ADV,2671321
anderen_ADJ,2656592
gibt_VERB,2592719
hatten_VERB,2592198
wäre_VERB,2542752
lassen_VERB,2421155
machen_VERB,2395481
sollte_VERB,2379572
müssen_VERB,2267737
ging_VERB,2244809
geht_VERB,2163171
wurden_VERB,2116584
sehen_VERB,2098599
fragte_VERB,2088495
bereits_ADV,2073351
will_VERB,2050263
gewesen_VERB,2049882
erst_ADV,1988790
soll_VERB,1963276
weiß_VERB,1960567
gerade_ADV,1955801
jedoch_ADV,1897874
hast_VERB,1896750
heute_ADV,1848502
ließ_VERB,1848027
stand_VERB,1838260
sagen_VERB,1837623
dort_ADV,1826714
wohl_ADV,1803321
ersten_ADJ,1754513
musste_VERB,1739738
weiter_ADV,1699076
kommen_VERB,1660036
kommt_VERB,1653810
könnte_VERB,1639332
gehen_VERB,1628429
andere_ADJ,1537706
einfach_ADV,1523924
werde_VERB,1500361
wissen_VERB,1499335
worden_VERB,1492019
denn_ADV,1448379
etwa_ADV,1423451
bist_VERB,1418178
später_ADJ,1407976
fast_ADV,1397459
muss_VERB,1390780
nahm_VERB,1370643
machte_VERB,1351711
sogar_ADV,1334592
großen_ADJ,1333924
finden_VERB,1333220
wollen_VERB,1316373
lange_ADV,1305226
wusste_VERB,1301951
stehen_VERB,1300139
genau_ADJ,1294222
zwar_ADV,1290668
steht_VERB,1271037
schnell_ADJ,1242899
kleinen_ADJ,1237635
etwas_ADV,1228958
gemacht_VERB,1217440
dachte_VERB,1216418
gleich_ADV,1213969
hielt_VERB,1213962
gesagt_VERB,1209708
kaum_ADV,1207335
allein_ADV,1188656
geben_VERB,1186178
eigenen_ADJ,1185778
letzten_ADJ,1173352
liegt_VERB,1161063
weit_ADJ,1160300
