term,term_frequency
have_VERB,65338678
were_VERB,49129360
would_VERB,38975719
been_VERB,33563172
will_VERB,32646918
said_VERB,30274492
could_VERB,29573974
when_ADV,29456611
time_NOUN,28417722
other_ADJ,27286016
also_ADV,24357464
then_ADV,20607622
only_ADV,19025316
more_ADV,18739475
just_ADV,17508782
such_ADJ,17046615
people_NOUN,16890986
know_VERB,16883756
even_ADV,15996240
should_VERB,15961427
where_ADV,15489318
more_ADJ,15440369
made_VERB,14399409
back_ADV,14252836
first_ADJ,13696732
here_ADV,13513662
life_NOUN,13486854
very_ADV,13340575
many_ADJ,12971999
make_VERB,12743335
well_ADV,12154927
good_ADJ,12064677
being_VERB,11960188
same_ADJ,11868173
used_VERB,11806850
still_ADV,11661434
must_VERB,11393847
years_NOUN,10961461
take_VERB,10613389
think_VERB,10388534
never_ADV,10246646
does_VERB,10184575
most_ADV,10023391
might_VERB,9965928
again_ADV,9833322
eyes_NOUN,9708378
work_NOUN,9694729
come_VERB,9613840
want_VERB,9579631
hand_NOUN,9507012
world_NOUN,9414240
going_VERB,9310362
little_ADJ,9016587
found_VERB,8966053
head_NOUN,8745607
away_ADV,8661237
there_ADV,8602806
came_VERB,8488957
part_NOUN,8472446
place_NOUN,8392188
looked_VERB,8077946
system_NOUN,7926256
case_NOUN,7836944
long_ADJ,7798782
asked_VERB,7747851
things_NOUN,7697309
great_ADJ,7585230
took_VERB,7530010
high_ADJ,7521516
always_ADV,7484097
social_ADJ,7452418
face_NOUN,7368495
find_VERB,7336335
need_VERB,7310650
thought_VERB,7290195
body_NOUN,7251676
water_NOUN,7050501
number_NOUN,7030818
much_ADV,7000580
went_VERB,6966328
data_NOUN,6913809
power_NOUN,6901333
small_ADJ,6874172
room_NOUN,6847004
example_NOUN,6755565
home_NOUN,6722434
often_ADV,6716154
last_ADJ,6620783
family_NOUN,6559591
state_NOUN,6551261
knew_VERB,6548060
called_VERB,6492322
side_NOUN,6442003
process_NOUN,6400764
left_VERB,6351633
much_ADJ,6299476
felt_VERB,6288406
told_VERB,6283876
give_VERB,6179304
order_NOUN,6167591
words_NOUN,6154644
given_VERB,6146524
women_NOUN,6110473
using_VERB,6060839
person_NOUN,5991479
point_NOUN,5970606
others_NOUN,5966740
