term,term_frequency
estaba_VERB,1818295
dijo_VERB,1544326
vida_NOUN,1538245
tiempo_NOUN,1498128
bien_ADV,1402837
puede_VERB,1396264
parte_NOUN,1232035
hacer_VERB,1151301
antes_ADV,1050485
tiene_VERB,1035686
forma_NOUN,1016330
casa_NOUN,1016302
siempre_ADV,1012426
momento_NOUN,1009983
solo_ADJ,991741
hombre_NOUN,914301
sido_VERB,911559
menos_ADV,907485
mundo_NOUN,896597
tanto_ADV,894956
lugar_NOUN,886177
ojos_NOUN,873562
decir_VERB,807216
caso_NOUN,806420
ahora_ADV,795134
trabajo_NOUN,783196
gran_ADJ,762663
cosas_NOUN,759963
manera_NOUN,758519
hace_VERB,752508
mano_NOUN,743627
cabeza_NOUN,712688
tener_VERB,693335
lado_NOUN,684138
mucho_ADV,680792
mujer_NOUN,665908
mejor_ADJ,652273
nunca_ADV,645178
estar_VERB,640383
padre_NOUN,636839
veces_NOUN,632141
nuevo_ADJ,630684
noche_NOUN,620867
mayor_ADJ,607153
cuerpo_NOUN,600605
madre_NOUN,592687
verdad_NOUN,592209
embargo_NOUN,574397
pueden_VERB,567274
primera_ADJ,564455
eran_VERB,561673
persona_NOUN,551911
casi_ADV,546857
cuenta_NOUN,546842
puerta_NOUN,546154
hizo_VERB,542837
debe_VERB,538534
haber_VERB,536517
luego_ADV,536006
modo_NOUN,532354
tipo_NOUN,531191
manos_NOUN,530311
punto_NOUN,528795
poco_ADV,504688
hombres_NOUN,504411
dentro_ADV,493288
dice_VERB,476718
gente_NOUN,465096
ejemplo_NOUN,462878
tienen_VERB,453495
posible_ADJ,452926
amor_NOUN,447460
hecho_VERB,447127
agua_NOUN,447069
dicho_VERB,444950
estaban_VERB,438731
mujeres_NOUN,436465
familia_NOUN,427365
nombre_NOUN,426061
ciudad_NOUN,423269
incluso_ADV,420723
primer_ADJ,417623
derecho_NOUN,417151
hablar_VERB,412537
idea_NOUN,411239
sentido_NOUN,409658
parece_VERB,408524
cosa_NOUN,407404
hubiera_VERB,401846
social_ADJ,400272
hecho_NOUN,399607
mirada_NOUN,387680
camino_NOUN,386973
sistema_NOUN,382496
libro_NOUN,382402
proceso_NOUN,379770
hijo_NOUN,376237
llegar_VERB,375118
saber_VERB,370218
tengo_VERB,369915
poder_NOUN,367735
muerte_NOUN,367591
estoy_VERB,366608
fuerza_NOUN,361744
cambio_NOUN,358522
fueron_VERB,357970
largo_ADJ,354271
hora_NOUN,352235
paso_NOUN,348841
cara_NOUN,347742
fuera_VERB,347637
tierra_NOUN,339407
pensar_VERB,339161
visto_VERB,338782
medio_NOUN,338300
grandes_ADJ,338086
grupo_NOUN,337550
general_ADJ,336254
puedo_VERB,334202
buena_ADJ,333966
