term,term_frequency
plus_ADV,14199037
avait_VERB,7749338
sont_VERB,6736921
bien_ADV,5908133
faire_VERB,4758305
fait_VERB,4293968
aussi_ADV,4276676
peut_VERB,4192753
temps_NOUN,3399032
encore_ADV,3291215
autre_ADJ,2957346
fois_NOUN,2811824
suis_VERB,2805217
avoir_VERB,2696459
tout_ADV,2635421
homme_NOUN,2429097
dire_VERB,2413345
alors_ADV,2409104
tous_ADJ,2405727
moins_ADV,2246342
jamais_ADV,2231658
donc_ADV,2161666
monde_NOUN,2129902
yeux_NOUN,2098306
voir_VERB,2062090
ainsi_ADV,1981683
deux_ADJ,1958821
autres_ADJ,1886756
jour_NOUN,1714907
trop_ADV,1670729
main_NOUN,1647974
moment_NOUN,1634728
chose_NOUN,1605162
faut_VERB,1604917
tout_ADJ,1600365
femme_NOUN,1570736
petit_ADJ,1561395
grand_ADJ,1559766
toutes_ADJ,1394831
corps_NOUN,1389687
point_NOUN,1378243
place_NOUN,1359744
fait_NOUN,1319484
travail_NOUN,1314733
droit_NOUN,1302287
doit_VERB,1291431
soit_VERB,1291219
sais_VERB,1281584
avaient_VERB,1280897
jeune_ADJ,1242117
hommes_NOUN,1241567
partie_NOUN,1231969
prendre_VERB,1226127
part_NOUN,1206319
grande_ADJ,1205440
jours_NOUN,1198884
regard_NOUN,1193304
premier_ADJ,1180392
voix_NOUN,1172914
effet_NOUN,1172514
serait_VERB,1133390
porte_NOUN,1133314
maison_NOUN,1131135
souvent_ADV,1129704
tant_ADV,1110679
sens_NOUN,1106776
pays_NOUN,1096136
enfants_NOUN,1092026
petite_ADJ,1086196
seul_ADJ,1083480
aurait_VERB,1078208
besoin_NOUN,1062854
ville_NOUN,1051451
coup_NOUN,1045951
lieu_NOUN,1042561
bras_NOUN,1037416
raison_NOUN,1013821
sera_VERB,988935
pouvait_VERB,986365
toute_ADJ,981295
nuit_NOUN,959340
exemple_NOUN,958552
heures_NOUN,957422
mieux_ADV,951331
fille_NOUN,947972
aller_VERB,943500
choses_NOUN,940062
seule_ADJ,935307
avons_VERB,927631
famille_NOUN,926431
nouveau_ADJ,913003
partir_VERB,905947
mains_NOUN,903857
assez_ADV,903328
esprit_NOUN,901804
autant_ADV,886741
savoir_VERB,885960
parler_VERB,880154
mois_NOUN,877273
bonne_ADJ,871167
gens_NOUN,864172
visage_NOUN,864146
heure_NOUN,858827
mettre_VERB,852338
tard_ADV,851239
comment_ADV,840682
peuvent_VERB,838394
cours_NOUN,836528
surtout_ADV,832001
amour_NOUN,831793
mort_NOUN,828107
femmes_NOUN,823618
soir_NOUN,822129
enfant_NOUN,821172
pris_VERB,819451
terre_NOUN,815759
forme_NOUN,814227
doute_NOUN,798856
presque_ADV,796736
avez_VERB,785517
loin_ADV,782485
passer_VERB,779142
faisait_VERB,779027
peine_NOUN,773037
fils_NOUN,769868
veux_VERB,769236
suite_NOUN,768804
dernier_ADJ,762236
chambre_NOUN,756268
trouve_VERB,755852
compte_NOUN,751452
nombre_NOUN,734836
mots_NOUN,724757
donner_VERB,723315
enfin_ADV,721611
vais_VERB,719671
face_NOUN,718200
nature_NOUN,709485
cause_NOUN,707116
vrai_ADJ,705751
tour_NOUN,699167
guerre_NOUN,696475
trouver_VERB,692549
semble_VERB,682353
propre_ADJ,682222
sujet_NOUN,681448
sommes_VERB,667920
pouvoir_NOUN,664358
plan_NOUN,662810
force_NOUN,656494
sourire_NOUN,654946
peur_NOUN,652240
parfois_ADV,645825
ordre_NOUN,645403
rapport_NOUN,641893
bout_NOUN,639965
milieu_NOUN,637356
peux_VERB,636712
devait_VERB,635118
fond_NOUN,628385
veut_VERB,624536
article_NOUN,623693
reste_VERB,619316
parents_NOUN,616688
rendre_VERB,605185
vient_VERB,594936
simple_ADJ,591503
font_VERB,591500
laisser_VERB,586073
travers_NOUN,584634
belle_ADJ,584219
table_NOUN,582035
permet_VERB,581051
prix_NOUN,573825
sait_VERB,573028
crois_VERB,572563
livre_NOUN,568848
groupe_NOUN,566356
passe_VERB,564935
demanda_VERB,563744
salle_NOUN,562854
objet_NOUN,562639
matin_NOUN,561462
action_NOUN,560701
grands_ADJ,560598
mesure_NOUN,555022
donne_VERB,549915
sang_NOUN,549254
route_NOUN,548717
allait_VERB,540967
sorte_NOUN,539664
fort_ADJ,539293
service_NOUN,538817
niveau_NOUN,537818
choix_NOUN,536414
minutes_NOUN,536009
voulait_VERB,528002
chemin_NOUN,527633
espace_NOUN,521817
ayant_VERB,519956
vivre_VERB,518683
ensuite_ADV,517051
retour_NOUN,512637
silence_NOUN,512599
venir_VERB,510252
amis_NOUN,508994
argent_NOUN,508205
tandis_VERB,508033
genre_NOUN,505711
demande_VERB,505494
envie_VERB,504294
type_NOUN,503311
titre_NOUN,503160
bois_NOUN,501781
train_NOUN,496459
bouche_NOUN,494640
voiture_NOUN,493340
pense_VERB,493262
lettre_NOUN,491306
pied_NOUN,490984
trois_ADJ,488677
accord_NOUN,488627
vite_ADV,482894
abord_ADV,482789
valeur_NOUN,482520
fais_VERB,482495
cheveux_NOUN,482433
parce_VERB,480014
auteur_NOUN,474962
projet_NOUN,474149
compris_VERB,470276
pouvoir_VERB,469120
venait_VERB,467810
centre_NOUN,464681
juste_ADV,464447
instant_NOUN,463700
chef_NOUN,463047
savait_VERB,456881
quel_ADJ,455435
texte_NOUN,454563
prend_VERB,454324
ciel_NOUN,453727
image_NOUN,450013
pieds_NOUN,448190
telle_ADJ,446523
langue_NOUN,446515
sortir_VERB,445832
petits_ADJ,444096
penser_VERB,443085
certain_ADJ,441833
bien_NOUN,439686
parle_VERB,439606
plein_ADJ,439393
