term,term_frequency
меня_NOUN,7787927
себя_NOUN,4453721
него_NOUN,3567164
время_NOUN,3383365
которые_NOUN,3154138
тебя_NOUN,3069948
себе_NOUN,3063301
того_NOUN,3010326
который_NOUN,2726860
жизни_NOUN,2504081
тебе_NOUN,2484461
ничего_NOUN,2374267
этом_NOUN,2309722
человек_NOUN,2174321
людей_NOUN,2042373
этого_NOUN,1943569
глаза_NOUN,1923917
день_NOUN,1855410
года_NOUN,1775114
жизнь_NOUN,1706877
люди_NOUN,1604252
собой_NOUN,1583391
времени_NOUN,1579999
руки_NOUN,1480079
которая_NOUN,1447741
чего_NOUN,1425926
дело_NOUN,1424892
которых_NOUN,1405420
которой_NOUN,1386987
друг_NOUN,1247267
слова_NOUN,1236567
случае_NOUN,1222613
место_NOUN,1188699
голову_NOUN,1159729
руку_NOUN,1141586
момент_NOUN,1124549
образом_NOUN,1087413
сторону_NOUN,1043556
лицо_NOUN,1042022
никто_NOUN,987619
работы_NOUN,986196
году_NOUN,974173
мной_NOUN,967914
вопрос_NOUN,944511
стороны_NOUN,937140
всего_NOUN,924320
дверь_NOUN,913114
часть_NOUN,899373
голос_NOUN,882103
которое_NOUN,881472
дома_NOUN,880698
взгляд_NOUN,873674
деньги_NOUN,858721
которую_NOUN,856251
ними_NOUN,856014
тому_NOUN,850231
деле_NOUN,827654
месте_NOUN,824309
детей_NOUN,817461
головой_NOUN,811881
нему_NOUN,780632
части_NOUN,776496
лица_NOUN,775502
права_NOUN,773502
минут_NOUN,751219
дела_NOUN,722249
друга_NOUN,720328
мира_NOUN,711301
денег_NOUN,710850
котором_NOUN,700298
места_NOUN,696819
мысли_NOUN,694760
ответ_NOUN,684339
ноги_NOUN,679064
тобой_NOUN,672108
сердце_NOUN,661298
работу_NOUN,655136
дней_NOUN,649230
тело_NOUN,645338
всем_NOUN,640365
всех_NOUN,638848
силы_NOUN,636920
слово_NOUN,634063
кого_NOUN,633990
пути_NOUN,631031
воды_NOUN,624166
женщина_NOUN,620491
отец_NOUN,619350
системы_NOUN,615601
рукой_NOUN,607429
глазами_NOUN,599990
мире_NOUN,599308
смерти_NOUN,596366
которым_NOUN,586425
города_NOUN,586228
девушка_NOUN,585810
власти_NOUN,582984
ребенка_NOUN,568745
свет_NOUN,568290
области_NOUN,561902
истории_NOUN,561623
путь_NOUN,557178
общения_NOUN,548424
руках_NOUN,544404
ночь_NOUN,544318
двери_NOUN,544264
любви_NOUN,539429
город_NOUN,534603
руками_NOUN,531402
глаз_NOUN,530684
нами_NOUN,529993
мать_NOUN,527547
тела_NOUN,520192
войны_NOUN,519888
голове_NOUN,519109
любовь_NOUN,505011
пару_NOUN,490151
годы_NOUN,486724
часов_NOUN,483069
право_NOUN,480798
вопросы_NOUN,477396
отца_NOUN,476120
слов_NOUN,475590
женщины_NOUN,465316
числе_NOUN,464519
этим_NOUN,463997
вами_NOUN,462146
силу_NOUN,461356
доме_NOUN,460961
решение_NOUN,459687
глазах_NOUN,459162
работе_NOUN,453159
дети_NOUN,447878
страны_NOUN,447133
мужчина_NOUN,442399
мама_NOUN,441490
решения_NOUN,440136
группы_NOUN,439164
вещи_NOUN,435579
землю_NOUN,432237
стол_NOUN,431398
порядке_NOUN,428688
земли_NOUN,428547
конца_NOUN,426160
мысль_NOUN,425813
души_NOUN,424064
комнату_NOUN,423656
прав_NOUN,419399
начала_NOUN,417068
тысяч_NOUN,413974
период_NOUN,411139
роль_NOUN,411059
конце_NOUN,404506
волосы_NOUN,403244
книги_NOUN,401469
речь_NOUN,400643
людям_NOUN,394790
помощь_NOUN,391753
точки_NOUN,390959
форме_NOUN,390681
связи_NOUN,389436
крови_NOUN,386178
зрения_NOUN,383388
средств_NOUN,381309
цели_NOUN,375537
работа_NOUN,374664
процесс_NOUN,369112
груди_NOUN,367866
комнате_NOUN,366633
земле_NOUN,364929
степени_NOUN,360845
чувство_NOUN,359042
никого_NOUN,357910
головы_NOUN,356661
матери_NOUN,353785
часа_NOUN,353465
воду_NOUN,352236
века_NOUN,351924
труда_NOUN,350286
язык_NOUN,349625
машины_NOUN,349053
людьми_NOUN,347741
основе_NOUN,347166
армии_NOUN,345201
семьи_NOUN,344062
круга_NOUN,341499
лицом_NOUN,340297
лице_NOUN,340288
раза_NOUN,340240
ребенок_NOUN,339923
кровь_NOUN,338356
чувства_NOUN,338230
